dataset,stem,subset,is_viral
denovo_pdb,8kc0_A,legacy_554,
denovo_pdb,8vez_A,legacy_554,
denovo_pdb,8bl9_A,legacy_554,
cameo_hard,9k3e_C,legacy_554,
denovo_pdb,7vu4_A,legacy_554,
denovo_pdb,8bl5_A,legacy_554,
denovo_pdb,8vei_A,legacy_554,
casp_fm,T1104-D1,legacy_554,
foldbench100,7yug_A,legacy_554,
denovo_pdb,5ieo_A,legacy_554,
denovo_pdb,5trv_A,legacy_554,
casp_fm,T1120-D1,legacy_554,
denovo_pdb,8cux_B,legacy_554,
foldbench100,8ah9_A,legacy_554,
denovo_pdb,5vnv_A,legacy_554,
denovo_pdb,6x9z_A,legacy_554,
denovo_pdb,9tau_A,legacy_554,
denovo_pdb,9v3a_A,legacy_554,
denovo_pdb,9xzo_A,legacy_554,
denovo_pdb,5iep_A,legacy_554,
denovo_pdb,8kac_A,legacy_554,
denovo_pdb,5hrz_A,legacy_554,
denovo_pdb,3o49_A,legacy_554,
denovo_pdb,3o4b_A,legacy_554,
denovo_pdb,3o4d_A,legacy_554,
denovo_pdb,3o4c_A,legacy_554,
denovo_pdb,3q7w_A,legacy_554,
denovo_pdb,3q7y_A,legacy_554,
denovo_pdb,4d8h_A,legacy_554,
denovo_pdb,4qks_A,legacy_554,
cameo_hard,9dl1_D,legacy_554,
cameo_hard,9j46_F,legacy_554,
denovo_pdb,3p6j_A,legacy_554,
denovo_pdb,3q7x_A,legacy_554,
denovo_pdb,4qkr_A,legacy_554,
denovo_pdb,9kgz_A,legacy_554,
casp_fm,T1029-D1,legacy_554,
denovo_pdb,7hiy_A,legacy_554,
denovo_pdb,7hiz_A,legacy_554,
denovo_pdb,7hj0_A,legacy_554,
denovo_pdb,7hj1_A,legacy_554,
denovo_pdb,7hj2_A,legacy_554,
denovo_pdb,7hj3_A,legacy_554,
denovo_pdb,7hj4_A,legacy_554,
denovo_pdb,7hj5_A,legacy_554,
denovo_pdb,7hj6_A,legacy_554,
denovo_pdb,7hj7_A,legacy_554,
denovo_pdb,7hj8_A,legacy_554,
denovo_pdb,7hj9_A,legacy_554,
denovo_pdb,7hja_A,legacy_554,
denovo_pdb,7hjb_A,legacy_554,
denovo_pdb,7hjc_A,legacy_554,
denovo_pdb,7hjd_A,legacy_554,
denovo_pdb,7hje_A,legacy_554,
denovo_pdb,7hjf_A,legacy_554,
denovo_pdb,7hjg_A,legacy_554,
denovo_pdb,7hjh_A,legacy_554,
denovo_pdb,7hji_A,legacy_554,
denovo_pdb,7hjj_A,legacy_554,
denovo_pdb,7hjk_A,legacy_554,
denovo_pdb,7hjl_A,legacy_554,
denovo_pdb,7hjm_A,legacy_554,
denovo_pdb,7hjn_A,legacy_554,
denovo_pdb,7hjo_A,legacy_554,
denovo_pdb,7hjp_A,legacy_554,
denovo_pdb,7hjq_A,legacy_554,
denovo_pdb,7hjr_A,legacy_554,
denovo_pdb,7hjs_A,legacy_554,
denovo_pdb,7hjt_A,legacy_554,
denovo_pdb,7hju_A,legacy_554,
denovo_pdb,7hjv_A,legacy_554,
denovo_pdb,7hjw_A,legacy_554,
denovo_pdb,7hjx_A,legacy_554,
denovo_pdb,7hjy_A,legacy_554,
denovo_pdb,7hjz_A,legacy_554,
denovo_pdb,7hk0_A,legacy_554,
denovo_pdb,7hk1_A,legacy_554,
denovo_pdb,7hk2_A,legacy_554,
denovo_pdb,7hk3_A,legacy_554,
denovo_pdb,7hk4_A,legacy_554,
denovo_pdb,9dw2_A,legacy_554,
denovo_pdb,9n0j_A,legacy_554,
denovo_pdb,9r1k_A,legacy_554,
denovo_pdb,9tas_A,legacy_554,
denovo_pdb,3p6i_A,legacy_554,
denovo_pdb,7jrq_A,legacy_554,
denovo_pdb,8a3k_UNK,legacy_554,
denovo_pdb,8fjf_A,legacy_554,
cameo_hard,9hac_B,legacy_554,
denovo_pdb,9r00_A,legacy_554,
denovo_pdb,9r1m_A,legacy_554,
denovo_pdb,9vp8_A,legacy_554,
denovo_pdb,6w90_A,legacy_554,
casp_fm,T1040-D1,legacy_554,
foldbench100,8bgb_A,legacy_554,
foldbench100,7zu3_A,legacy_554,
denovo_pdb,9r1j_A,legacy_554,
denovo_pdb,9r1n_A,legacy_554,
denovo_pdb,9r1l_A,legacy_554,
casp_fm,T1049-D1,legacy_554,
casp_fm,T1125-D1,legacy_554,
denovo_pdb,8w97_A,legacy_554,
foldbench100,7tlh_A,legacy_554,
foldbench100,7zv1_A,legacy_554,
denovo_pdb,2fo7_A,legacy_554,
denovo_pdb,2hyz_A,legacy_554,
denovo_pdb,8bu0_A,legacy_554,
denovo_pdb,8ch0_A,legacy_554,
denovo_pdb,8cig_A,legacy_554,
denovo_pdb,8ckr_A,legacy_554,
denovo_pdb,8cmq_A,legacy_554,
denovo_pdb,8tnm_A,legacy_554,
denovo_pdb,8bl6_A,legacy_554,
denovo_pdb,8eov_A,legacy_554,
denovo_pdb,8ju8_A,legacy_554,
denovo_pdb,3pg0_A,legacy_554,
denovo_pdb,7sq5_A,legacy_554,
denovo_pdb,8bl3_A,legacy_554,
denovo_pdb,9mrb_A,legacy_554,
casp_fm,T1125-D4,legacy_554,
cameo_hard,9f4c_A,legacy_554,
denovo_pdb,3qa9_A,legacy_554,
foldbench100,8b2e_A,legacy_554,
denovo_pdb,5xg5_A,legacy_554,
denovo_pdb,8qad_A,legacy_554,
denovo_pdb,7sq3_A,legacy_554,
denovo_pdb,6egc_A,legacy_554,
foldbench100,8dp9_A,legacy_554,
casp_fm,T1043-D1,legacy_554,
casp_fm,T1125-D2,legacy_554,
denovo_pdb,9mxx_A,legacy_554,
casp_fm,T1125-D5,legacy_554,
foldbench100,7zoi_A,legacy_554,
denovo_pdb,3rfn_A,legacy_554,
denovo_pdb,8kc4_A,legacy_554,
denovo_pdb,9hnh_A,legacy_554,
cameo_hard,9def_A,legacy_554,
denovo_pdb,8pf0_A,legacy_554,
foldbench100,8dx0_A,legacy_554,
denovo_pdb,2qyj_A,legacy_554,
denovo_pdb,5lw2_A,legacy_554,
denovo_pdb,1mj0_A,legacy_554,
cameo_hard,9isp_A,legacy_554,
denovo_pdb,4j8y_A,legacy_554,
denovo_pdb,5op3_A,legacy_554,
cameo_hard,9deg_A,legacy_554,
denovo_pdb,4ess_A,legacy_554,
denovo_pdb,5cwh_A,legacy_554,
foldbench100,7urp_A,legacy_554,
denovo_pdb,4nez_A,legacy_554,
denovo_pdb,5cwj_A,legacy_554,
denovo_pdb,6fpb_A,legacy_554,
foldbench100,7wz5_A,legacy_554,
denovo_pdb,5oos_A,legacy_554,
casp_fm,T1039-D1,legacy_554,
foldbench100,8axj_A,legacy_554,
denovo_pdb,4etj_A,legacy_554,
denovo_pdb,4dui_A,legacy_554,
denovo_pdb,5oou_A,legacy_554,
denovo_pdb,8xyr_A,legacy_554,
denovo_pdb,9jl9_A,legacy_554,
denovo_pdb,3v45_A,legacy_554,
denovo_pdb,9jl8_A,legacy_554,
denovo_pdb,9jla_A,legacy_554,
denovo_pdb,9vvn_A,legacy_554,
casp_fm,T1113-D1,legacy_554,
foldbench100,8ec3_A,legacy_554,
denovo_pdb,6z2i_A,legacy_554,
casp_fm,T1027-D1,legacy_554,
denovo_pdb,8xyu_A,legacy_554,
denovo_pdb,9qul_A,legacy_554,
foldbench100,7y5m_A,legacy_554,
denovo_pdb,9qud_A,legacy_554,
denovo_pdb,9qui_A,legacy_554,
denovo_pdb,9quo_A,legacy_554,
denovo_pdb,5cwd_A,legacy_554,
denovo_pdb,9quc_A,legacy_554,
denovo_pdb,5cwk_A,legacy_554,
denovo_pdb,7udo_A,legacy_554,
denovo_pdb,8k7z_A,legacy_554,
foldbench100,8dez_A,legacy_554,
denovo_pdb,7osv_A,legacy_554,
denovo_pdb,7ocm_A,legacy_554,
denovo_pdb,7smj_A,legacy_554,
denovo_pdb,8j1x_A,legacy_554,
cameo_hard,8vd6_A,legacy_554,
denovo_pdb,8j1w_A,legacy_554,
denovo_pdb,4pjr_A,legacy_554,
denovo_pdb,4pjs_A,legacy_554,
cameo_hard,9eum_A,legacy_554,
foldbench100,8bsb_A,legacy_554,
denovo_pdb,9r2k_A,legacy_554,
foldbench100,7xcd_A,legacy_554,
denovo_pdb,6yqy_A,legacy_554,
denovo_pdb,8oyw_A,legacy_554,
denovo_pdb,8k8f_A,legacy_554,
denovo_pdb,8kcj_A,legacy_554,
cameo_hard,9fdg_A,legacy_554,
denovo_pdb,5bvl_A,legacy_554,
denovo_pdb,6veh_A,legacy_554,
denovo_pdb,6yqx_A,legacy_554,
denovo_pdb,9ugr_A,legacy_554,
denovo_pdb,6wvs_A,legacy_554,
foldbench100,7uvg_A,legacy_554,
denovo_pdb,7osu_A,legacy_554,
denovo_pdb,7ot7_A,legacy_554,
denovo_pdb,7p12_A,legacy_554,
denovo_pdb,8j98_A,legacy_554,
denovo_pdb,8y33_A,legacy_554,
foldbench100,7yd4_A,legacy_554,
denovo_pdb,4uos_A,legacy_554,
foldbench100,8bau_A,legacy_554,
denovo_pdb,7dmf_A,legacy_554,
denovo_pdb,7f1h_A,legacy_554,
denovo_pdb,8gl3_A,legacy_554,
denovo_pdb,5dra_A,legacy_554,
denovo_pdb,7a8s_A,legacy_554,
denovo_pdb,7f1j_A,legacy_554,
denovo_pdb,7mcc_A,legacy_554,
denovo_pdb,8oys_A,legacy_554,
cameo_hard,8j4i_A,legacy_554,
denovo_pdb,5di5_A,legacy_554,
denovo_pdb,7f1i_A,legacy_554,
denovo_pdb,8p4y_A,legacy_554,
denovo_pdb,4gvw_A,legacy_554,
cameo_hard,9b7d_D,legacy_554,
denovo_pdb,7f1k_A,legacy_554,
denovo_pdb,7f1l_A,legacy_554,
denovo_pdb,8d9o_A,legacy_554,
foldbench100,7ur2_A,legacy_554,
denovo_pdb,5cwg_A,legacy_554,
denovo_pdb,8d9p_A,legacy_554,
denovo_pdb,5cwc_A,legacy_554,
denovo_pdb,5vjs_A,legacy_554,
denovo_pdb,5vjt_A,legacy_554,
denovo_pdb,5vju_A,legacy_554,
denovo_pdb,7tal_A,legacy_554,
casp_fm,T1121-D1,legacy_554,
denovo_pdb,4db6_A,legacy_554,
denovo_pdb,5cwb_A,legacy_554,
denovo_pdb,8vc8_A,legacy_554,
denovo_pdb,9fw5_A,legacy_554,
cameo_hard,9bch_A,legacy_554,
denovo_pdb,9fw7_A,legacy_554,
denovo_pdb,8g9j_A,legacy_554,
denovo_pdb,9fwa_A,legacy_554,
denovo_pdb,9qrf_A,legacy_554,
denovo_pdb,9r7f_A,legacy_554,
denovo_pdb,8kck_A,legacy_554,
denovo_pdb,9qdp_A,legacy_554,
foldbench100,8cpn_A,legacy_554,
denovo_pdb,5cwn_A,legacy_554,
cameo_hard,8yl4_B,legacy_554,
cameo_hard,8v4w_A,legacy_554,
foldbench100,8baq_A,legacy_554,
denovo_pdb,4yxx_A,legacy_554,
denovo_pdb,9h10_A,legacy_554,
denovo_pdb,9raa_A,legacy_554,
denovo_pdb,9raq_A,legacy_554,
denovo_pdb,9rar_A,legacy_554,
denovo_pdb,9rb0_A,legacy_554,
denovo_pdb,9rbe_A,legacy_554,
denovo_pdb,8k8g_A,legacy_554,
denovo_pdb,8k8i_A,legacy_554,
denovo_pdb,9gvf_A,legacy_554,
denovo_pdb,9h3c_A,legacy_554,
denovo_pdb,9lni_A,legacy_554,
foldbench100,7uba_A,legacy_554,
foldbench100,8add_A,legacy_554,
foldbench100,8b6a_A,legacy_554,
foldbench100,8cba_A,legacy_554,
foldbench100,8cih_A,legacy_554,
casp_fm,T1123-D1,legacy_554,
foldbench100,8adc_A,legacy_554,
denovo_pdb,6ff6_A,legacy_554,
denovo_pdb,5cwm_A,legacy_554,
foldbench100,7tjb_A,legacy_554,
denovo_pdb,8eoz_B,legacy_554,
denovo_pdb,8kc8_A,legacy_554,
denovo_pdb,7uek_A,legacy_554,
foldbench100,8ycm_A,legacy_554,
denovo_pdb,5cwp_A,legacy_554,
denovo_pdb,7rmx_A,legacy_554,
casp_fm,T1122-D1,legacy_554,
denovo_pdb,5cwi_A,legacy_554,
denovo_pdb,5cwq_A,legacy_554,
denovo_pdb,8k7o_A,legacy_554,
denovo_pdb,8kdq_A,legacy_554,
denovo_pdb,6xt4_A,legacy_554,
foldbench100,8gmy_A,legacy_554,
foldbench100,8b61_A,legacy_554,
denovo_pdb,7qnl_AAA,legacy_554,
denovo_pdb,4pq8_A,legacy_554,
denovo_pdb,6ics_O,legacy_554,
denovo_pdb,3og3_A,legacy_554,
casp_fm,T1041-D1,legacy_554,
cameo_hard,8vej_B,legacy_554,
denovo_pdb,4ijb_A,legacy_554,
denovo_pdb,6ais_O,legacy_554,
foldbench100,7qp5_A,legacy_554,
foldbench100,8b2s_A,legacy_554,
foldbench100,8arl_A,legacy_554,
denovo_pdb,2i5v_O,legacy_554,
denovo_pdb,2i5z_O,legacy_554,
denovo_pdb,6qsh_A,legacy_554,
denovo_pdb,4a29_A,legacy_554,
denovo_pdb,4hxt_A,legacy_554,
denovo_pdb,4lny_A,legacy_554,
denovo_pdb,6rlh_A,legacy_554,
foldbench100,8dhj_A,legacy_554,
denovo_pdb,4lt9_A,legacy_554,
denovo_pdb,6iei_A,legacy_554,
denovo_pdb,6qsd_A,legacy_554,
denovo_pdb,6rej_A,legacy_554,
denovo_pdb,6rli_A,legacy_554,
denovo_pdb,5d2w_A,legacy_554,
denovo_pdb,5d2x_A,legacy_554,
denovo_pdb,5d2y_A,legacy_554,
denovo_pdb,5d30_A,legacy_554,
denovo_pdb,3ww9_A,legacy_554,
denovo_pdb,3wwa_A,legacy_554,
denovo_pdb,6f0s_A,legacy_554,
denovo_pdb,6i37_A,legacy_554,
denovo_pdb,6i38_A,legacy_554,
denovo_pdb,6i39_A,legacy_554,
denovo_pdb,6i3a_A,legacy_554,
denovo_pdb,6idc_A,legacy_554,
denovo_pdb,6qse_A,legacy_554,
denovo_pdb,6qsg_A,legacy_554,
denovo_pdb,6rek_A,legacy_554,
denovo_pdb,6rem_A,legacy_554,
denovo_pdb,6reo_A,legacy_554,
denovo_pdb,5d2t_A,legacy_554,
denovo_pdb,5d2v_A,legacy_554,
denovo_pdb,4z08_A,legacy_554,
denovo_pdb,4psj_A,legacy_554,
denovo_pdb,9dcx_A,legacy_554,
denovo_pdb,9dd2_A,legacy_554,
denovo_pdb,8r8o_A,legacy_554,
foldbench100,7xlz_A,legacy_554,
denovo_pdb,6xi6_A,legacy_554,
denovo_pdb,8chy_A,legacy_554,
denovo_pdb,8cqq_A,legacy_554,
casp_fm,T1042-D1,legacy_554,
foldbench100,8b4u_A,legacy_554,
denovo_pdb,8etq_A,legacy_554,
denovo_pdb,4yxz_A,legacy_554,
denovo_pdb,9jwo_A,legacy_554,
denovo_pdb,4ndj_A,legacy_554,
denovo_pdb,8qkd_A,legacy_554,
foldbench100,8q8i_A,legacy_554,
foldbench100,7z65_A,legacy_554,
denovo_pdb,7bid_A,legacy_554,
denovo_pdb,9jwq_A,legacy_554,
foldbench100,7xg9_A,legacy_554,
foldbench100,7x3h_A,legacy_554,
foldbench100,8eo5_A,legacy_554,
denovo_pdb,9jwt_A,legacy_554,
denovo_pdb,2af5_A,legacy_554,
foldbench100,8ak2_A,legacy_554,
foldbench100,7w15_A,legacy_554,
foldbench100,8daj_A,legacy_554,
denovo_pdb,4r5c_A,legacy_554,
foldbench100,7x4p_A,legacy_554,
denovo_pdb,5l0p_A,legacy_554,
denovo_pdb,7awy_A,legacy_554,
denovo_pdb,7ax2_A,legacy_554,
foldbench100,8ci9_A,legacy_554,
denovo_pdb,5le4_A,legacy_554,
denovo_pdb,7awz_A,legacy_554,
foldbench100,8c4y_A,legacy_554,
denovo_pdb,2fkg_A,legacy_554,
denovo_pdb,2hkd_A,legacy_554,
denovo_pdb,5le9_A,legacy_554,
denovo_pdb,5ys7_A,legacy_554,
foldbench100,7zs2_A,legacy_554,
denovo_pdb,5lea_A,legacy_554,
denovo_pdb,7ax0_A,legacy_554,
denovo_pdb,6g6p_A,legacy_554,
denovo_pdb,6y7p_A,legacy_554,
denovo_pdb,6g6m_A,legacy_554,
denovo_pdb,6tjg_A,legacy_554,
denovo_pdb,8q52_A,legacy_554,
foldbench100,8au6_A,legacy_554,
denovo_pdb,9szu_A,legacy_554,
cameo_hard,8u1a_A,legacy_554,
foldbench100,7xz3_A,legacy_554,
denovo_pdb,9dbd_A,legacy_554,
foldbench100,8d2z_A,legacy_554,
foldbench100,7v3o_A,legacy_554,
denovo_pdb,4r6f_A,legacy_554,
foldbench100,7ylr_A,legacy_554,
foldbench100,8c4d_A,legacy_554,
foldbench100,8bux_A,legacy_554,
foldbench100,7xjr_A,legacy_554,
foldbench100,7y4h_A,legacy_554,
cameo_hard,8s3m_A,legacy_554,
denovo_pdb,8qzn_A,legacy_554,
denovo_pdb,5orm_A,legacy_554,
denovo_pdb,4drt_A,legacy_554,
denovo_pdb,6ee5_A,legacy_554,
cameo_hard,8zaf_A,legacy_554,
foldbench100,7yyg_A,legacy_554,
denovo_pdb,9d01_A,legacy_554,
foldbench100,8e5h_A,legacy_554,
foldbench100,7qsj_A,legacy_554,
foldbench100,8akh_A,legacy_554,
foldbench100,8dqd_A,legacy_554,
cameo_hard,9emy_B,legacy_554,
denovo_pdb,9lm8_A,legacy_554,
foldbench100,8cpk_A,legacy_554,
foldbench100,7uk8_A,legacy_554,
denovo_pdb,6sa6_A,legacy_554,
foldbench100,7xrx_A,legacy_554,
foldbench100,8amo_A,legacy_554,
cameo_hard,8s89_A,legacy_554,
casp_fm,T1037-D1,legacy_554,
foldbench100,7y3h_A,legacy_554,
foldbench100,8bfy_A,legacy_554,
foldbench100,8b5w_A,legacy_554,
casp_fm,T1112-D1,legacy_554,
foldbench100,8e0r_A,legacy_554,
foldbench100,8dmu_A,legacy_554,
foldbench100,7wzm_A,legacy_554,
foldbench100,7x8l_A,legacy_554,
foldbench100,7xq4_A,legacy_554,
foldbench100,8azb_A,legacy_554,
foldbench100,7xyr_A,legacy_554,
foldbench100,7uww_A,legacy_554,
foldbench100,8bke_A,legacy_554,
foldbench100,8dge_A,legacy_554,
foldbench100,7znz_A,legacy_554,
foldbench_monomer,5sbj_A,eval-denovo,0
foldbench_monomer,7ur7_A,eval-denovo,0
foldbench_monomer,8ah9_A,eval-denovo,0
foldbench_monomer,8eov_A,eval-denovo,0
foldbench_monomer,8fjf_A,eval-denovo,0
foldbench_monomer,8gac_A,eval-denovo,0
foldbench_monomer,8ju8_A,eval-denovo,0
foldbench_monomer,8k7o_A,eval-denovo,0
foldbench_monomer,8k7z_A,eval-denovo,0
foldbench_monomer,8k83_A,eval-denovo,0
foldbench_monomer,8k84_A,eval-denovo,0
foldbench_monomer,8kcj_A,eval-denovo,0
foldbench_monomer,8ka7_A,eval-denovo,0
foldbench_monomer,8kac_A,eval-denovo,0
foldbench_monomer,8oys_A,eval-denovo,0
foldbench_monomer,8oyy_A,eval-denovo,0
foldbench_monomer,8qkd_A,eval-denovo,0
foldbench_monomer,8qup_A,eval-denovo,0
foldbench_monomer,8vc8_A,eval-denovo,0
foldbench_monomer,7pv5_A,eval-val,0
foldbench_monomer,7qp5_A,eval-val,0
foldbench_monomer,7qsj_A,eval-val,0
foldbench_monomer,7t9r_A,eval-val,0
foldbench_monomer,7tlh_A,eval-val,0
foldbench_monomer,7tjb_A,eval-val,0
foldbench_monomer,7uba_A,eval-val,0
foldbench_monomer,7uk8_A,eval-val,0
foldbench_monomer,7ur2_A,eval-val,0
foldbench_monomer,7urp_A,eval-val,0
foldbench_monomer,7uvg_A,eval-val,0
foldbench_monomer,7uww_A,eval-val,0
foldbench_monomer,7v3o_A,eval-val,0
foldbench_monomer,7w15_A,eval-val,0
foldbench_monomer,7y3h_A,eval-val,0
foldbench_monomer,7wz5_A,eval-val,0
foldbench_monomer,7wzm_A,eval-val,0
foldbench_monomer,7x4p_A,eval-val,0
foldbench_monomer,7x3h_A,eval-val,0
foldbench_monomer,7x8l_A,eval-val,0
foldbench_monomer,7xcd_A,eval-val,1
foldbench_monomer,7xg9_A,eval-val,0
foldbench_monomer,7xi5_A,eval-val,0
foldbench_monomer,7xp9_A,eval-val,0
foldbench_monomer,8ycm_A,eval-val,0
foldbench_monomer,7xq4_A,eval-val,0
foldbench_monomer,7xrx_A,eval-val,0
foldbench_monomer,7xjr_A,eval-val,0
foldbench_monomer,7xyr_A,eval-val,0
foldbench_monomer,7xz3_A,eval-val,0
foldbench_monomer,7y4h_A,eval-val,0
foldbench_monomer,7y54_A,eval-val,0
foldbench_monomer,7y5m_A,eval-val,1
foldbench_monomer,7y5r_A,eval-val,0
foldbench_monomer,7y8h_A,eval-val,0
foldbench_monomer,7y8i_A,eval-val,0
foldbench_monomer,7y5j_A,eval-val,0
foldbench_monomer,7yd4_A,eval-val,0
foldbench_monomer,7yhr_A,eval-val,0
foldbench_monomer,7ykm_A,eval-val,0
foldbench_monomer,7ylr_A,eval-val,0
foldbench_monomer,8gmy_A,eval-val,0
foldbench_monomer,7yug_A,eval-val,0
foldbench_monomer,7yyg_A,eval-val,0
foldbench_monomer,7z65_A,eval-val,0
foldbench_monomer,7znz_A,eval-val,0
foldbench_monomer,7zoi_A,eval-val,0
foldbench_monomer,7zs2_A,eval-val,0
foldbench_monomer,7zu3_A,eval-val,1
foldbench_monomer,7zv1_A,eval-val,1
foldbench_monomer,8adc_A,eval-val,0
foldbench_monomer,8add_A,eval-val,0
foldbench_monomer,8akh_A,eval-val,0
foldbench_monomer,8ak2_A,eval-val,0
foldbench_monomer,8arl_A,eval-val,0
foldbench_monomer,8q8i_A,eval-val,1
foldbench_monomer,8au6_A,eval-val,0
foldbench_monomer,8axj_A,eval-val,0
foldbench_monomer,8azb_A,eval-val,0
foldbench_monomer,8b2e_A,eval-val,0
foldbench_monomer,8b2g_A,eval-val,0
foldbench_monomer,8b2s_A,eval-val,0
foldbench_monomer,8b4u_A,eval-val,0
foldbench_monomer,8b5w_A,eval-val,0
foldbench_monomer,8b61_A,eval-val,0
foldbench_monomer,8b6a_A,eval-val,0
foldbench_monomer,8b6e_A,eval-val,0
foldbench_monomer,8baq_A,eval-val,0
foldbench_monomer,8bau_A,eval-val,0
foldbench_monomer,8bfy_A,eval-val,0
foldbench_monomer,8bgb_A,eval-val,0
foldbench_monomer,8bke_A,eval-val,1
foldbench_monomer,8bsb_A,eval-val,0
foldbench_monomer,8bux_A,eval-val,0
foldbench_monomer,8c4d_A,eval-val,0
foldbench_monomer,7xlz_A,eval-val,0
foldbench_monomer,8c4y_A,eval-val,0
